2,merchant,"2015-02-11 03:35:39","[[""aaa"",""bbb"",""cccasdad"",""dddd""],[""123"",""456"",""789""],[""\"aaa\""",""\"bbb\"""]]"
2,customer,saveoffer,"2015-02-12 12:47:02","{""info"":""Offer saved Sucessfully""}"
2,customer,deletesavedoffer,"2015-02-12 
12:47:35","{""error"":""There is no offer saved""}"
2,merchant,details,"2015-02-13 12:05:29","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""0"",""info_short"":null,""url"":null,""address"":null,""address2"":"""",""city"":null,""state"":null,""pincode"":null,""phone"":""0"",""mobile"":""0"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 11:57:42"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":"""",""display_name"":"""",""location"":""banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":null,""lat"":null,""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 11:57:41"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
2,merchant,details,"2015-02-13 12:06:56","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""0"",""info_short"":null,""url"":null,""address"":null,""address2"":"""",""city"":null,""state"":null,""pincode"":null,""phone"":""0"",""mobile"":""0"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 11:57:42"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":"""",""display_name"":"""",""location"":""banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":null,""lat"":null,""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 11:57:41"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
2,merchant,details,"2015-02-13 12:07:32","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""0"",""info_short"":null,""url"":null,""address"":null,""address2"":"""",""city"":null,""state"":null,""pincode"":null,""phone"":""0"",""mobile"":""0"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 11:57:42"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":"""",""display_name"":"""",""location"":""banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":null,""lat"":null,""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 11:57:41"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
2,merchant,details,"2015-02-13 12:11:06","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""0"",""info_short"":null,""url"":null,""address"":null,""address2"":"""",""city"":null,""state"":null,""pincode"":null,""phone"":""0"",""mobile"":""0"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 12:10:21"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":"""",""display_name"":"""",""location"":""Banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":""78.4382"",""lat"":""17.4165"",""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 12:10:20"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
2,merchant,details,"2015-02-13 12:11:19","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""0"",""info_short"":null,""url"":null,""address"":null,""address2"":"""",""city"":null,""state"":null,""pincode"":null,""phone"":""0"",""mobile"":""0"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 12:10:21"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":"""",""display_name"":"""",""location"":""Banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":""78.4382"",""lat"":""17.4165"",""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 12:10:20"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
2,merchant,details,"2015-02-13 12:11:27","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""0"",""info_short"":null,""url"":null,""address"":null,""address2"":"""",""city"":null,""state"":null,""pincode"":null,""phone"":""0"",""mobile"":""0"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 12:10:21"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":"""",""display_name"":"""",""location"":""Banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":""78.4382"",""lat"":""17.4165"",""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 12:10:20"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
2,merchant,details,"2015-02-13 12:12:28","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""asset.PNG"",""info_short"":null,""url"":null,""address"":null,""address2"":"""",""city"":null,""state"":null,""pincode"":null,""phone"":""9848022338"",""mobile"":""98480122339"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 12:10:21"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":""IChek"",""display_name"":""IChek Merchant"",""location"":""Banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":""78.4382"",""lat"":""17.4165"",""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 12:12:27"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
2,merchant,details,"2015-02-13 12:14:47","{""response"":true,""info"":{""merchant"":{""id"":""1"",""title"":null,""business_logo_url"":""asset.PNG"",""info_short"":""A iChek Will give you the best offers all the time. For best offers Please do follow us. Thanking You."",""url"":null,""address"":""Road No.12"",""address2"":"""",""city"":""Hyderabad"",""state"":""TG"",""pincode"":""500034"",""phone"":""9848022338"",""mobile"":""98480122339"",""fax"":null,""passcode"":null,""paypalid"":null,""paypal_balance"":""0"",""facebookid"":null,""status"":null,""datecreated"":""2015-02-13 12:10:21"",""datemodified"":""0000-00-00 00:00:00"",""business_img_url1"":null,""business_img_url2"":null,""business_img_url3"":null,""business_img_url4"":null,""business_img_url5"":null,""business_img_url6"":null,""username"":"""",""business_name"":""IChek"",""display_name"":""IChek Merchant"",""location"":""Banjarahills"",""category"":null,""user_id"":""2"",""business_id"":""0"",""lng"":""78.4382"",""lat"":""17.4165"",""firstname"":""ichek"",""lastname"":""merchant"",""created_on"":""2015-02-13 12:12:27"",""redeemedcount"":""0"",""followerscount"":""0"",""customer_name"":null,""email"":""merchant@ichek.com"",""id_customer"":null,""points"":""0"",""cash"":""0""},""business_hours"":[],""user_status"":""New""}}"
